author,message,timestamp,time_in_seconds,time_text
Reza Pahlevi,gn y'all,1595183637811643,107,1:47
MC_P00,VIBE,1595183637826232,107,1:47
Agw11,c h i l l,1595183640484519,108,1:48
Joel Baez,:yt:,1595183640997147,108,1:48
NEXT,🤤🤤🤤🤤🤤🤤🤤🤣,1595183641125369,109,1:49
Vainius Liaudanskas,ohh,1595183641368004,109,1:49
I go reee,IST SO PRITTY,1595183641739632,109,1:49
Twilight76YT,WOOOOOHOOOOOOOOOOOOOOO,1595183641911613,109,1:49
Mya,;-;,1595183641994493,109,1:49
Pinifoxy,し,1595183642421583,110,1:50
Anna Keerthana,is it gon be here forever???????!!!!!!,1595183642762049,110,1:50
Mon Osorno,is she dead? lol,1595183642985306,110,1:50
Giovane Greg,•\\\•) PERFECT 💜💜,1595183643056472,110,1:50
Ayman Hailu,HE @ChilledCow did you make this and when,1595183643518792,111,1:51
TyrranicalT-Rad,CATS MAKE THE BEST SLEEPING COMPANIONS !!!!!!,1595183643686688,111,1:51
mr. WonderFlu,aww,1595183643843620,111,1:51
dan jokess,Hope y’all have a good day,1595183643909787,111,1:51
Nicolai Schoenmakers,c,1595183644030491,111,1:51
- M A N C I P E,VIDEO NOPOR BUSQUEN :MARGOT ROBBIE SEX EL PRIMERO LO PONEN Y SE MASTURBAN RAPIDO!!!,1595183644035023,111,1:51
David Villca Rivera,BUENAS SOLO TRATO DE MIMIR ;),1595183644995548,114,1:54
Pogo Stick,This is fire🔥🔥,1595183645286787,115,1:55
kapapase,fr,1595183645563372,115,1:55
poulexvx,"Grande Milik,",1595183645611276,115,1:55
Apex Paradise TV,hey,1595183645959983,115,1:55
Diana Sosa,hola gentee,1595183646309505,116,1:56
Недим Касимов,РР ОО СС ИИ ЯЯ,1595183647091270,116,1:56
Alice Ngo,Кто есть в тик токе 😂,1595183647453616,117,1:57
Lux,❤️,1595183648134083,117,1:57
kurapika kurta,crud,1595183648527498,118,1:58
Game Boi,The study girl finally has a break,1595183648642533,118,1:58
Abhijit Das,Hiiii:yt:,1595183648705630,118,1:58
